Seed,Team Name,Round,Pick,Odds,Public Pick%,team_region
1,Connecticut,7,To Win Tournament,22.8,30.4,East
1,Purdue,7,To Win Tournament,10.5,10.7,Midwest
1,Houston,7,To Win Tournament,11.9,13.0,South
2,Arizona,7,To Win Tournament,7.5,5.2,West
2,Tennessee,7,To Win Tournament,5.4,4.1,Midwest
4,Auburn,7,To Win Tournament,5.5,2.6,East
2,Iowa State,7,To Win Tournament,4.8,3.9,East
2,Marquette,7,To Win Tournament,3.5,2.3,South
3,Creighton,7,To Win Tournament,2.8,1.7,Midwest
4,Duke,7,To Win Tournament,2.7,1.6,South
1,North Carolina,7,To Win Tournament,4.1,9.5,West
5,Gonzaga,7,To Win Tournament,1.5,1.0,Midwest
3,Illinois,7,To Win Tournament,1.8,1.7,East
3,Kentucky,7,To Win Tournament,1.8,3.9,South
5,Saint Mary's College,7,To Win Tournament,1.1,0.3,West
4,Alabama,7,To Win Tournament,1.3,0.7,West
6,Texas Tech,7,To Win Tournament,1.0,0.2,South
3,Baylor,7,To Win Tournament,1.3,1.2,West
6,BYU,7,To Win Tournament,0.9,0.2,East
9,Michigan State,7,To Win Tournament,1.0,0.3,West
5,Wisconsin,7,To Win Tournament,0.9,0.5,South
11,New Mexico,7,To Win Tournament,0.7,0.1,West
4,Kansas,7,To Win Tournament,0.6,1.2,Midwest
10,Colorado,7,To Win Tournament,0.3,0.0,South
6,Clemson,7,To Win Tournament,0.4,0.2,West
8,Nebraska,7,To Win Tournament,0.6,0.2,South
7,Texas,7,To Win Tournament,0.4,0.3,Midwest
8,Mississippi State,7,To Win Tournament,0.4,0.1,West
9,TCU,7,To Win Tournament,0.3,0.1,Midwest
9,Texas A&M,7,To Win Tournament,0.5,0.1,South
5,San Diego State,7,To Win Tournament,0.3,0.3,East
7,Dayton,7,To Win Tournament,0.2,0.1,West
6,South Carolina,7,To Win Tournament,0.1,0.2,Midwest
7,Florida,7,To Win Tournament,0.2,0.3,South
11,Oregon,7,To Win Tournament,0.1,0.2,Midwest
10,Drake,7,To Win Tournament,0.1,0.0,East
10,Nevada,7,To Win Tournament,0.1,0.0,West
7,Washington State,7,To Win Tournament,0.1,0.1,East
10,Colorado State,7,To Win Tournament,0.1,0.0,Midwest
11,North Carolina State,7,To Win Tournament,0.1,0.3,South
8,FAU,7,To Win Tournament,0.1,0.1,East
9,Northwestern,7,To Win Tournament,0.1,0.1,East
12,James Madison,7,To Win Tournament,0.0,0.1,South
12,McNeese,7,To Win Tournament,0.0,0.0,Midwest
12,Grand Canyon,7,To Win Tournament,0.0,0.0,West
8,Utah State,7,To Win Tournament,0.0,0.0,Midwest
13,Charleston,7,To Win Tournament,0.0,0.0,West
13,Samford,7,To Win Tournament,0.0,0.0,Midwest
11,Duquesne,7,To Win Tournament,0.0,0.0,East
12,UAB,7,To Win Tournament,0.0,0.0,East
13,Vermont,7,To Win Tournament,0.0,0.0,South
13,Yale,7,To Win Tournament,0.0,0.0,East
14,Colgate,7,To Win Tournament,0.0,0.0,West
14,Akron,7,To Win Tournament,0.0,0.0,Midwest
14,Oakland,7,To Win Tournament,0.0,0.0,South
14,Morehead State,7,To Win Tournament,0.0,0.0,East
15,Long Beach State,7,To Win Tournament,0.0,0.0,West
15,Western Kentucky,7,To Win Tournament,0.0,0.0,South
15,South Dakota State,7,To Win Tournament,0.0,0.0,East
15,Saint Peter's,7,To Win Tournament,0.0,0.0,Midwest
16,Wagner,7,To Win Tournament,0.0,0.0,West
16,Grambling State,7,To Win Tournament,0.0,0.0,Midwest
16,Stetson,7,To Win Tournament,0.0,0.1,East
16,Longwood,7,To Win Tournament,0.0,0.0,South
1,Purdue,6,To Make Championship,20.4,22.9,Midwest
1,Connecticut,6,To Make Championship,33.6,46.0,East
1,Houston,6,To Make Championship,21.1,28.0,South
2,Arizona,6,To Make Championship,13.2,10.6,West
2,Tennessee,6,To Make Championship,11.8,11.0,Midwest
4,Auburn,6,To Make Championship,9.9,5.2,East
2,Iowa State,6,To Make Championship,9.5,8.1,East
2,Marquette,6,To Make Championship,8.2,6.4,South
3,Creighton,6,To Make Championship,7.0,5.2,Midwest
4,Duke,6,To Make Championship,6.5,4.2,South
1,North Carolina,6,To Make Championship,8.6,15.9,West
5,Gonzaga,6,To Make Championship,4.0,2.5,Midwest
3,Illinois,6,To Make Championship,4.2,3.7,East
5,Saint Mary's College,6,To Make Championship,2.7,0.8,West
6,Texas Tech,6,To Make Championship,2.7,0.5,South
3,Kentucky,6,To Make Championship,4.9,9.9,South
4,Alabama,6,To Make Championship,3.1,1.8,West
3,Baylor,6,To Make Championship,3.3,3.3,West
6,BYU,6,To Make Championship,2.2,0.5,East
9,Michigan State,6,To Make Championship,2.4,0.6,West
5,Wisconsin,6,To Make Championship,2.4,1.2,South
11,New Mexico,6,To Make Championship,1.8,0.2,West
4,Kansas,6,To Make Championship,1.9,3.1,Midwest
10,Colorado,6,To Make Championship,1.1,0.1,South
6,Clemson,6,To Make Championship,1.2,0.5,West
8,Nebraska,6,To Make Championship,1.7,0.3,South
8,Mississippi State,6,To Make Championship,1.2,0.2,West
7,Texas,6,To Make Championship,1.3,0.7,Midwest
9,TCU,6,To Make Championship,1.0,0.2,Midwest
9,Texas A&M,6,To Make Championship,1.4,0.3,South
5,San Diego State,6,To Make Championship,0.9,0.7,East
7,Dayton,6,To Make Championship,0.5,0.2,West
6,South Carolina,6,To Make Championship,0.5,0.5,Midwest
7,Florida,6,To Make Championship,0.8,0.7,South
11,Oregon,6,To Make Championship,0.5,0.4,Midwest
10,Drake,6,To Make Championship,0.4,0.2,East
7,Washington State,6,To Make Championship,0.3,0.2,East
10,Colorado State,6,To Make Championship,0.3,0.1,Midwest
10,Nevada,6,To Make Championship,0.4,0.1,West
11,North Carolina State,6,To Make Championship,0.4,0.7,South
